GAME_ID,Season ID,Home Team Name,Away Team Name,Home Points,Away Points,Home Win,Match,Date
0021800130,22018,San Antonio Spurs,New Orleans Pelicans,109,95,W,SAS vs. NOP,2018-11-03
0021800131,22018,Denver Nuggets,Utah Jazz,103,88,L,UTA @ DEN,2018-11-03
0021800132,22018,Portland Trail Blazers,Los Angeles Lakers,110,114,L,POR vs. LAL,2018-11-03
0021800133,22018,Milwaukee Bucks,Sacramento Kings,144,109,W,MIL vs. SAC,2018-11-04
0021800134,22018,Brooklyn Nets,Philadelphia 76ers,122,97,L,PHI @ BKN,2018-11-04
0021800135,22018,Washington Wizards,New York Knicks,108,95,L,NYK @ WAS,2018-11-04
0021800136,22018,Phoenix Suns,Memphis Grizzlies,102,100,L,MEM @ PHX,2018-11-04
0021800137,22018,San Antonio Spurs,Orlando Magic,110,117,L,SAS vs. ORL,2018-11-04
0021800138,22018,Portland Trail Blazers,Minnesota Timberwolves,111,81,W,POR vs. MIN,2018-11-04
0021800139,22018,Los Angeles Lakers,Toronto Raptors,107,121,L,LAL vs. TOR,2018-11-04
0021800140,22018,Detroit Pistons,Miami Heat,115,120,L,DET vs. MIA,2018-11-05
0021800141,22018,Indiana Pacers,Houston Rockets,94,98,W,HOU @ IND,2018-11-05
0021800142,22018,Orlando Magic,Cleveland Cavaliers,102,100,W,ORL vs. CLE,2018-11-05
0021800143,22018,New York Knicks,Chicago Bulls,115,116,L,NYK vs. CHI,2018-11-05
0021800144,22018,Oklahoma City Thunder,New Orleans Pelicans,122,116,W,OKC vs. NOP,2018-11-05
0021800145,22018,Denver Nuggets,Boston Celtics,115,107,W,DEN vs. BOS,2018-11-05
0021800146,22018,Utah Jazz,Toronto Raptors,111,124,L,UTA vs. TOR,2018-11-05
0021800147,22018,Golden State Warriors,Memphis Grizzlies,117,101,W,GSW vs. MEM,2018-11-05
0021800148,22018,Los Angeles Clippers,Minnesota Timberwolves,120,109,W,LAC vs. MIN,2018-11-05
0021800149,22018,Charlotte Hornets,Atlanta Hawks,113,102,L,ATL @ CHA,2018-11-06
0021800150,22018,Dallas Mavericks,Washington Wizards,119,100,L,WAS @ DAL,2018-11-06
0021800151,22018,Phoenix Suns,Brooklyn Nets,82,104,L,PHX vs. BKN,2018-11-06
0021800152,22018,Portland Trail Blazers,Milwaukee Bucks,118,103,L,MIL @ POR,2018-11-06
0021800153,22018,Cleveland Cavaliers,Oklahoma City Thunder,86,95,W,OKC @ CLE,2018-11-07
0021800154,22018,Orlando Magic,Detroit Pistons,96,103,L,ORL vs. DET,2018-11-07
0021800155,22018,Atlanta Hawks,New York Knicks,107,112,W,NYK @ ATL,2018-11-07
0021800156,22018,Miami Heat,San Antonio Spurs,95,88,L,SAS @ MIA,2018-11-07
0021800157,22018,Indiana Pacers,Philadelphia 76ers,94,100,W,PHI @ IND,2018-11-07
0021800158,22018,Memphis Grizzlies,Denver Nuggets,89,87,W,MEM vs. DEN,2018-11-07
0021800159,22018,New Orleans Pelicans,Chicago Bulls,107,98,W,NOP vs. CHI,2018-11-07
0021800160,22018,Utah Jazz,Dallas Mavericks,117,102,W,UTA vs. DAL,2018-11-07
0021800161,22018,Sacramento Kings,Toronto Raptors,105,114,L,SAC vs. TOR,2018-11-07
0021800162,22018,Los Angeles Lakers,Minnesota Timberwolves,114,110,W,LAL vs. MIN,2018-11-07
