GAME_ID,Season ID,Home Team ABB,Away Team ABB,Home Team Name,Away Team Name,Home ID,Away ID,Home Points,Away Points,Home Win,Match,Date,Home Won Previous Match,Away Won Previous Match,Home Win Streak,Away Win Streak,Home Team Higher Rank,Home Team Won Last
0021800103,22018,LAC,OKC,Oklahoma City Thunder,Los Angeles Clippers,1610612746,1610612760,128,110,1,LAC @ OKC,2018-10-30,True,True,1,2,1,1
0021800104,22018,BKN,DET,Brooklyn Nets,Detroit Pistons,1610612751,1610612765,120,119,1,BKN vs. DET,2018-10-31,False,False,0,0,0,1
0021800105,22018,NYK,IND,New York Knicks,Indiana Pacers,1610612752,1610612754,101,107,0,NYK vs. IND,2018-10-31,True,False,1,0,0,0
0021800106,22018,CHI,DEN,Chicago Bulls,Denver Nuggets,1610612741,1610612743,107,108,0,CHI vs. DEN,2018-10-31,False,True,0,1,0,0
0021800107,22018,MIN,UTA,Minnesota Timberwolves,Utah Jazz,1610612750,1610612762,128,125,0,MIN vs. UTA,2018-10-31,True,True,1,3,0,0
0021800108,22018,GSW,NOP,Golden State Warriors,New Orleans Pelicans,1610612744,1610612740,131,121,1,GSW vs. NOP,2018-10-31,True,False,5,0,1,0
0021800109,22018,LAL,DAL,Los Angeles Lakers,Dallas Mavericks,1610612747,1610612742,114,113,1,LAL vs. DAL,2018-10-31,False,False,0,0,1,0
0021800110,22018,PHX,SAS,Phoenix Suns,San Antonio Spurs,1610612756,1610612759,90,120,0,PHX vs. SAS,2018-10-31,False,True,0,2,0,0
0021800111,22018,CHA,OKC,Charlotte Hornets,Oklahoma City Thunder,1610612766,1610612760,107,111,0,CHA vs. OKC,2018-11-01,True,True,1,2,0,0
0021800112,22018,DEN,CLE,Cleveland Cavaliers,Denver Nuggets,1610612743,1610612739,91,110,1,DEN @ CLE,2018-11-01,True,True,1,2,1,0
0021800113,22018,LAC,PHI,Philadelphia 76ers,Los Angeles Clippers,1610612746,1610612755,122,113,0,LAC @ PHI,2018-11-01,False,False,0,0,1,0
0021800114,22018,ATL,SAC,Atlanta Hawks,Sacramento Kings,1610612737,1610612758,115,146,1,ATL vs. SAC,2018-11-01,False,True,0,4,0,0
0021800115,22018,MIL,BOS,Boston Celtics,Milwaukee Bucks,1610612749,1610612738,117,113,1,MIL @ BOS,2018-11-01,True,True,3,7,1,0
0021800116,22018,NOP,POR,Portland Trail Blazers,New Orleans Pelicans,1610612740,1610612757,132,119,1,NOP @ POR,2018-11-01,True,False,2,0,1,0
0021800117,22018,LAC,ORL,Orlando Magic,Los Angeles Clippers,1610612746,1610612753,95,120,0,LAC @ ORL,2018-11-02,False,False,0,0,0,0
0021800118,22018,HOU,BKN,Brooklyn Nets,Houston Rockets,1610612745,1610612751,111,119,0,HOU @ BKN,2018-11-02,True,False,1,0,0,0
0021800119,22018,OKC,WAS,Washington Wizards,Oklahoma City Thunder,1610612760,1610612764,111,134,0,OKC @ WAS,2018-11-02,False,True,0,3,0,0
0021800120,22018,CHI,IND,Chicago Bulls,Indiana Pacers,1610612741,1610612754,105,107,0,CHI vs. IND,2018-11-02,False,True,0,1,0,0
0021800121,22018,DAL,NYK,Dallas Mavericks,New York Knicks,1610612742,1610612752,106,118,1,DAL vs. NYK,2018-11-02,False,False,0,0,0,0
0021800122,22018,MEM,UTA,Utah Jazz,Memphis Grizzlies,1610612763,1610612762,100,110,1,MEM @ UTA,2018-11-02,False,True,0,2,1,0
0021800123,22018,TOR,PHX,Phoenix Suns,Toronto Raptors,1610612761,1610612756,98,107,0,TOR @ PHX,2018-11-02,False,True,0,1,0,0
0021800124,22018,GSW,MIN,Golden State Warriors,Minnesota Timberwolves,1610612744,1610612750,116,99,1,GSW vs. MIN,2018-11-02,True,True,6,2,1,0
0021800125,22018,PHI,DET,Philadelphia 76ers,Detroit Pistons,1610612755,1610612765,109,99,1,PHI vs. DET,2018-11-03,True,False,1,0,1,0
0021800126,22018,CHA,CLE,Charlotte Hornets,Cleveland Cavaliers,1610612766,1610612739,126,94,1,CHA vs. CLE,2018-11-03,False,False,0,0,0,0
0021800127,22018,IND,BOS,Indiana Pacers,Boston Celtics,1610612754,1610612738,102,101,1,IND vs. BOS,2018-11-03,True,True,2,4,0,0
0021800128,22018,ATL,MIA,Atlanta Hawks,Miami Heat,1610612737,1610612748,123,118,0,ATL vs. MIA,2018-11-03,False,False,0,0,0,0
0021800129,22018,CHI,HOU,Chicago Bulls,Houston Rockets,1610612741,1610612745,88,96,0,CHI vs. HOU,2018-11-03,False,True,0,1,0,0
0021800130,22018,SAS,NOP,San Antonio Spurs,New Orleans Pelicans,1610612759,1610612740,109,95,1,SAS vs. NOP,2018-11-03,True,False,3,0,0,0
0021800131,22018,UTA,DEN,Denver Nuggets,Utah Jazz,1610612762,1610612743,103,88,1,UTA @ DEN,2018-11-03,True,False,3,0,0,0
0021800132,22018,LAL,POR,Portland Trail Blazers,Los Angeles Lakers,1610612747,1610612757,110,114,1,LAL @ POR,2018-11-03,True,True,3,1,1,0
0021800133,22018,MIL,SAC,Milwaukee Bucks,Sacramento Kings,1610612749,1610612758,144,109,1,MIL vs. SAC,2018-11-04,False,True,0,5,1,0
0021800134,22018,PHI,BKN,Brooklyn Nets,Philadelphia 76ers,1610612755,1610612751,122,97,0,PHI @ BKN,2018-11-04,False,True,0,2,0,0
0021800135,22018,NYK,WAS,Washington Wizards,New York Knicks,1610612752,1610612764,108,95,1,NYK @ WAS,2018-11-04,False,True,0,1,1,0
0021800136,22018,PHX,MEM,Phoenix Suns,Memphis Grizzlies,1610612756,1610612763,102,100,0,PHX vs. MEM,2018-11-04,False,True,0,3,0,1
0021800137,22018,SAS,ORL,San Antonio Spurs,Orlando Magic,1610612759,1610612753,110,117,1,SAS vs. ORL,2018-11-04,True,False,4,0,1,0
0021800138,22018,POR,MIN,Portland Trail Blazers,Minnesota Timberwolves,1610612757,1610612750,111,81,1,POR vs. MIN,2018-11-04,False,False,0,0,1,0
0021800139,22018,TOR,LAL,Los Angeles Lakers,Toronto Raptors,1610612761,1610612747,107,121,0,TOR @ LAL,2018-11-04,True,True,2,2,0,0
0021800140,22018,DET,MIA,Detroit Pistons,Miami Heat,1610612765,1610612748,115,120,0,DET vs. MIA,2018-11-05,False,False,0,0,0,0
0021800141,22018,IND,HOU,Indiana Pacers,Houston Rockets,1610612754,1610612745,94,98,1,IND vs. HOU,2018-11-05,True,True,3,2,0,0
0021800142,22018,ORL,CLE,Orlando Magic,Cleveland Cavaliers,1610612753,1610612739,102,100,0,ORL vs. CLE,2018-11-05,True,False,1,0,0,0
0021800143,22018,NYK,CHI,New York Knicks,Chicago Bulls,1610612752,1610612741,115,116,0,NYK vs. CHI,2018-11-05,False,False,0,0,1,0
0021800144,22018,OKC,NOP,Oklahoma City Thunder,New Orleans Pelicans,1610612760,1610612740,122,116,1,OKC vs. NOP,2018-11-05,True,False,4,0,0,0
0021800145,22018,DEN,BOS,Denver Nuggets,Boston Celtics,1610612743,1610612738,115,107,1,DEN vs. BOS,2018-11-05,True,False,4,0,0,0
0021800146,22018,TOR,UTA,Utah Jazz,Toronto Raptors,1610612761,1610612762,111,124,0,TOR @ UTA,2018-11-05,False,True,0,3,0,0
0021800147,22018,GSW,MEM,Golden State Warriors,Memphis Grizzlies,1610612744,1610612763,117,101,1,GSW vs. MEM,2018-11-05,True,False,7,0,1,0
0021800148,22018,MIN,LAC,Los Angeles Clippers,Minnesota Timberwolves,1610612750,1610612746,120,109,1,MIN @ LAC,2018-11-05,True,False,1,0,0,0
0021800149,22018,ATL,CHA,Charlotte Hornets,Atlanta Hawks,1610612737,1610612766,113,102,1,ATL @ CHA,2018-11-06,True,True,1,1,1,0
0021800150,22018,DAL,WAS,Dallas Mavericks,Washington Wizards,1610612742,1610612764,119,100,1,DAL vs. WAS,2018-11-06,False,True,0,1,0,0
0021800151,22018,PHX,BKN,Phoenix Suns,Brooklyn Nets,1610612756,1610612751,82,104,1,PHX vs. BKN,2018-11-06,True,True,1,1,0,0
0021800152,22018,MIL,POR,Portland Trail Blazers,Milwaukee Bucks,1610612749,1610612757,118,103,1,MIL @ POR,2018-11-06,True,True,1,1,1,0
0021800153,22018,CLE,OKC,Cleveland Cavaliers,Oklahoma City Thunder,1610612739,1610612760,86,95,1,CLE vs. OKC,2018-11-07,False,True,0,5,1,0
0021800154,22018,DET,ORL,Orlando Magic,Detroit Pistons,1610612765,1610612753,96,103,1,DET @ ORL,2018-11-07,True,False,2,0,0,0
0021800155,22018,NYK,ATL,Atlanta Hawks,New York Knicks,1610612752,1610612737,107,112,1,NYK @ ATL,2018-11-07,False,False,0,0,0,1
0021800156,22018,SAS,MIA,Miami Heat,San Antonio Spurs,1610612759,1610612748,95,88,0,SAS @ MIA,2018-11-07,True,False,1,0,0,0
0021800157,22018,PHI,IND,Indiana Pacers,Philadelphia 76ers,1610612755,1610612754,94,100,1,PHI @ IND,2018-11-07,False,False,0,0,0,0
0021800158,22018,MEM,DEN,Memphis Grizzlies,Denver Nuggets,1610612763,1610612743,89,87,1,MEM vs. DEN,2018-11-07,False,True,0,5,0,0
0021800159,22018,NOP,CHI,New Orleans Pelicans,Chicago Bulls,1610612740,1610612741,107,98,1,NOP vs. CHI,2018-11-07,False,True,0,1,1,0
0021800160,22018,UTA,DAL,Utah Jazz,Dallas Mavericks,1610612762,1610612742,117,102,1,UTA vs. DAL,2018-11-07,False,True,0,1,1,1
0021800161,22018,SAC,TOR,Sacramento Kings,Toronto Raptors,1610612758,1610612761,105,114,0,SAC vs. TOR,2018-11-07,False,True,0,4,0,0
0021800162,22018,LAL,MIN,Los Angeles Lakers,Minnesota Timberwolves,1610612747,1610612750,114,110,1,LAL vs. MIN,2018-11-07,False,False,0,0,0,1
0021800163,22018,HOU,OKC,Oklahoma City Thunder,Houston Rockets,1610612745,1610612760,98,80,1,HOU @ OKC,2018-11-08,True,True,6,3,0,0
0021800164,22018,PHX,BOS,Phoenix Suns,Boston Celtics,1610612756,1610612738,109,116,0,PHX vs. BOS,2018-11-08,False,False,0,0,0,0
0021800165,22018,LAC,POR,Portland Trail Blazers,Los Angeles Clippers,1610612746,1610612757,116,105,1,LAC @ POR,2018-11-08,True,True,2,2,1,0
0021800166,22018,MIL,GSW,Golden State Warriors,Milwaukee Bucks,1610612749,1610612744,111,134,1,MIL @ GSW,2018-11-08,True,False,8,0,1,0
0021800167,22018,WAS,ORL,Orlando Magic,Washington Wizards,1610612764,1610612753,117,108,0,WAS @ ORL,2018-11-09,False,False,0,0,0,0
0021800168,22018,PHI,CHA,Philadelphia 76ers,Charlotte Hornets,1610612755,1610612766,133,132,1,PHI vs. CHA,2018-11-09,True,True,1,2,1,0
0021800169,22018,ATL,DET,Atlanta Hawks,Detroit Pistons,1610612737,1610612765,109,124,1,ATL vs. DET,2018-11-09,False,True,0,1,0,0
0021800170,22018,MIA,IND,Miami Heat,Indiana Pacers,1610612748,1610612754,102,110,1,MIA vs. IND,2018-11-09,True,False,2,0,0,0
0021800171,22018,BKN,DEN,Denver Nuggets,Brooklyn Nets,1610612751,1610612743,110,112,1,BKN @ DEN,2018-11-09,False,True,0,2,1,0
